Bus ID,Route,Capacity,Start Times,,,,,,,,,,,,,,
A,C1,70,5:45,7:04,8:43,10:02,11:21,13:00,,,,,,,,,
B,C1,70,6:25,7:44,9:23,10:42,12:01,,,,,,,,,,
C,C2,70,5:25,6:25,7:45,8:45,11:05,12:05,13:05,14:25,15:25,16:25,17:45,18:45,19:45,20:45,22:05
G,G,70,6:25,7:52,8:59,10:06,11:33,12:40,13:47,15:14,16:21,17:28,18:55,20:02,21:09,,
